"filename", "language", "YAML", "Markdown", "C#", "XML", "JSON", "Shell Script", "Batch", "JSON with Comments", "Properties", "TypeScript", "ASP.NET Razor", "HTML", "Docker", "CSS", "comment", "blank", "total"
"d:\диплом\treadnetattemp2\docker-compose.apps.yml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"d:\диплом\treadnetattemp2\docker-compose.services.yml", "YAML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\диплом\treadnetattemp2\frontend\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
"d:\диплом\treadnetattemp2\frontend\angular.json", "JSON", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97
"d:\диплом\treadnetattemp2\frontend\nginx.dev.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 9, 39
"d:\диплом\treadnetattemp2\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 20107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20108
"d:\диплом\treadnetattemp2\frontend\package.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\диплом\treadnetattemp2\frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\диплом\treadnetattemp2\frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\диплом\treadnetattemp2\frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 52
"d:\диплом\treadnetattemp2\frontend\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\диплом\treadnetattemp2\frontend\src\app\components\auth-dialog\auth-dialog.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"d:\диплом\treadnetattemp2\frontend\src\app\components\auth-dialog\auth-dialog.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 15, 98
"d:\диплом\treadnetattemp2\frontend\src\app\components\comment\comment.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"d:\диплом\treadnetattemp2\frontend\src\app\components\comment\comment.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 12, 84
"d:\диплом\treadnetattemp2\frontend\src\app\components\common\material-components.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 3, 104
"d:\диплом\treadnetattemp2\frontend\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"d:\диплом\treadnetattemp2\frontend\src\app\components\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 12, 66
"d:\диплом\treadnetattemp2\frontend\src\app\components\main-thread\main-thread.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 4, 54
"d:\диплом\treadnetattemp2\frontend\src\app\components\main-thread\main-thread.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 33, 251
"d:\диплом\treadnetattemp2\frontend\src\app\components\post\post.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 8, 88
"d:\диплом\treadnetattemp2\frontend\src\app\components\post\post.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 28, 212
"d:\диплом\treadnetattemp2\frontend\src\app\components\reactions-info\reactions-info.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\диплом\treadnetattemp2\frontend\src\app\components\reactions-info\reactions-info.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"d:\диплом\treadnetattemp2\frontend\src\app\components\reactions-info\reactions-info.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\диплом\treadnetattemp2\frontend\src\app\components\reset-password\reset-password.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
"d:\диплом\treadnetattemp2\frontend\src\app\components\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
